FIPS,"Berries, Other",Berry Totals,Blackberries,Blueberries,Boysenberries,Cranberries,Currants,Loganberries,Raspberries,Strawberries
17111,0.0,15.0,0.0,4.0,0.0,0.0,1.0,0.0,10.0,7.0
17113,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0
17115,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0
17117,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
17119,0.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0
17121,3.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
17123,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17125,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17127,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17129,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
17131,2.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0
17133,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
17135,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
17137,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
17139,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
17141,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0
17143,1.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0
17145,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
17147,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17151,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
17153,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17157,2.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0
17159,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17161,0.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0
17163,0.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
17165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17167,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0
17169,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17171,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17173,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0
17175,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
17179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17181,2.0,16.0,12.0,7.0,0.0,0.0,0.0,0.0,5.0,7.0
17185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17187,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
17189,2.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0
17191,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
17193,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
17195,0.0,7.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0
17197,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0
17199,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
17201,0.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0
17203,3.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0
18001,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0
18003,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
18005,2.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
18011,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
18013,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
18015,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
18017,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
18019,0.0,13.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0
18021,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
18023,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
18025,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
18027,0.0,33.0,2.0,5.0,0.0,0.0,0.0,0.0,12.0,19.0
18029,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
18031,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0
18033,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
18035,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
18037,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18039,2.0,21.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,13.0
18041,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18043,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18045,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18047,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
18049,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
18051,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
18053,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18055,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
